"","title","point","review"
"11","¹Ì¼Ç ÀÓÆÄ¼­ºí: Æú¾Æ¿ô","8","¹Ì¼Ç ÀÓÆÄ¼­ºí: Æú¾Æ¿ô¾ðÁ¦³ª ¿ª½Ã~~ ¾Æ¸§´Ù¿î ¾×¼Ç "
"12","Ç÷¶û: ºÓÀºÀü»ç","10","Ç÷¶û: ºÓÀºÀü»ç¿µ¿õº»»ö°ú °ßÁÙ¸¸ÇÑ À¯ÀÏÇÑ ´ëÀÛ "
"13","¿Ïº®ÇÑ Å¸ÀÎ","6","¿Ïº®ÇÑ Å¸ÀÎ¾î·Á¿î ÀÌ¾ß±â¸¦ ½±°Ô Ç®°í, ±×·± ÀÏ ÇÏÁö¸»ÀÚ ¾ê±âÇÏ´Â °øÀÍ ¿µÈ­ "
"14","º£³ð","5","º£³ð¿Ö 30ºÐÀ» Â©¶ó¸Ô¾î¼­ ¤»¤» "
"15","¾Æ¸¶°Ùµ·","10","¾Æ¸¶°Ùµ·¿¾³¯¿µÈ­Áö¸¸ ¶ÇºÁµµ Àç¹Õ³×¿ä "
"16","¸¶´Ù°¡½ºÄ«3 : ÀÌ¹ø¿£ ¼­Ä¿½º´Ù!","10","¸¶´Ù°¡½ºÄ«3 : ÀÌ¹ø¿£ ¼­Ä¿½º´Ù!1 2 3ÆíÁß¿¡ 3ÆíÀÌ °¡Àå ½Å³­´Ù ¤»¤»¤» ¾àºþ¸¸È­ ¤»¤»¤» "
"17","±×°Í¸¸ÀÌ ³» ¼¼»ó","9","±×°Í¸¸ÀÌ ³» ¼¼»óÀÌº´Çå ÀÌº´Çå... ¿¬Ãâ°ú ½Ã³ª¸®¿À´Â °³ÆÇÀÎµ¥, ÀÌº´Çå Ä³¸¯ÅÍÀÇ ÀÀÃà ÇÏ³ª¸¸Å­Àº.. "
"18","±¹°¡ºÎµµÀÇ ³¯","10","±¹°¡ºÎµµÀÇ ³¯°ú°Å°¡ ¾Æ´Ñµí. ÇöÀçµµ ºÒ¾ÈºÒ¾È. "
"19","º® ¼Ó¿¡ ¼ûÀº ¸¶¹ý½Ã°è","2","º® ¼Ó¿¡ ¼ûÀº ¸¶¹ý½Ã°èÁøÂ¥ º¸¸é ¹»º»°ÇÁö ½Í°í µ·¾Æ±î¿ò "
"20","³ÊÀÇ ÀÌ¸§Àº.","7","³ÊÀÇ ÀÌ¸§Àº.Àç¹ÌÀÖ°Ô ÀßºÃ°í ÇÑµ¿¾È »ý°¢ÀÌ ³ª´Â ±×·± ¿µÈ­Áö¸¸ÀÎ»ýÃÖ°íÀÇ¿µÈ­¶ó´Â »ç¶÷µéÀºÀÎ»ýÀ» Á»´õ »ì¾Æº¸¼Å¾ßÇÒµí¿ä "
"21","µµ¾î¶ô","7","µµ¾î¶ô¿µÈ­º¸°í Áýµé¾î¿À±âÀü¿¡ µµ¾î¶ô ¾³¾³ ´Û°í µé¾î¿Ô½À´Ï´Ù.. ¿µÈ­¿¡¼­ ÁýÀÌ¶û ¹ãÀÌ Á¦ÀÏ ¹«¼­¿üÀ½¿ä.. "
"22","½ÅºñÇÑ µ¿¹°µé°ú ±×¸°µ¨¿ÐµåÀÇ ¹üÁË","6","½ÅºñÇÑ µ¿¹°µé°ú ±×¸°µ¨¿ÐµåÀÇ ¹üÁË3ÆíÀ» À§ÇÑ ±¤°í¿µÈ­ .. "
"23","ÇåÅÍ Å³·¯","7","ÇåÅÍ Å³·¯³­ ÀÌÇØ°¡ Àß,, ´ëÃæ ºÁ¼­ ±×·±°¡,, "
"24","µ¥½º À§½Ã","10","µ¥½º À§½ÃÃ³À½¿¡´Â Á¶±Ý Áö·çÇß´Âµ¥ ³¡±îÁö ¸ôÀÔÇØ¼­ º¸°í ÀÖ´Â ³ª¸¦ ¹ß°ß...ÀÌ°Ô 45³â Àü ¿µÈ­¶ó´Ï...¤§¤§ "
"25","±¹°¡ºÎµµÀÇ ³¯","7","±¹°¡ºÎµµÀÇ ³¯¿¾³¯ »ý°¢³ª°í ¸¶À½ ¾ÆÇÂ ¿µÈ­ ¤Ð¤Ð "
"26","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼Òµð¹Ì«‰³×¿ä ÀÌ·±¿µÈ­´Ù½Ã¸øº¼°Å°°¾Æ¿ä "
"27","¹ø°³¸ÇÀÇ ºñ¹Ð","10","¹ø°³¸ÇÀÇ ºñ¹Ð¾ÖµéÀÌ Àç¹Õ¿ÀÇØ¿©~^^ "
"28","Ä£±¸","1","Ä£±¸Çã¼¼¿¡  °Ñ¸Úµé°í ¾ÆÁ÷ Ã¶¾Èµç  ÀÎ°£µéÀÌÁÁ¾Æ¶ó ÇÏ´Â  ¶°µå´Â ¿µÈ­. Áö¹ä±×¸© Ã¬±æ·Á°í Ä£±¸Á×ÀÌ´Â Á¶Æø ¿µÈ­¿¡ ¹«½¼  ÀÇ¸® °®´ÙºÙÀÌÁö´ÂÁö.. "
"29","¼º³­È²¼Ò","8","¼º³­È²¼ÒÀßºÃ½À´Ï´Ù. ¿øÆÝ¸Ç Çö½ÇÆÇÀÌ³×¿ë "
"30","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","4","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¿©ÁÖ ÀÌ»Û°Å ÀÎÁ¤ ±Ùµ¥ ½ºÅä¸®´Â º°·Î... "
"31","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼Òµð¿µÈ­¸¦ º¸°í ´À³¤Á¡ : ¿ì¸®´Â ÀÌ¹Ì ÄýÀ» ¾Ë°íÀÖ¾ú´Ù! "
"32","µ¥½º À§½Ã","1","µ¥½º À§½Ã»ó¿µ°ü ¼ýÀÚº¸´Ù Àç¹Ì¾ø¾î¼­ °ü°´¼ö°¡ ÀûÀºµí "
"33","¸ðÅÐ ¿£Áø","10","¸ðÅÐ ¿£Áø¿ª´ë±Þ¿µÈ­. ³ª¸¸´çÇÒ¼ö¾ø´Â ¿µÈ­ "
"34","´õ ¶ó½ºÆ®: ³ª·çÅä ´õ ¹«ºñ","10","´õ ¶ó½ºÆ®: ³ª·çÅä ´õ ¹«ºñ³ª·çÅä ³¡³ª´Â°Ô ¾Æ½±³×¿ä "
"35","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼ÒµðÁ¸¸ÚÁ¸ÀëÁ¸Àç¶òÀÛÁß0¼øÀ§ "
"36","ÀÌº°ÀÇ ¾ÆÄ§¿¡ ¾à¼ÓÀÇ ²ÉÀ» Àå½ÄÇÏÀÚ","10","ÀÌº°ÀÇ ¾ÆÄ§¿¡ ¾à¼ÓÀÇ ²ÉÀ» Àå½ÄÇÏÀÚºÎ¸ð´Ô²² ¹Ì¾ÈÇÔ°ú °¨»çÇÔÀÌ µé¸é¼­ ÀßÇØ¾ß°Ú´Ü »ý°¢ÀÌ ³ª¹ö¸®´Â ¿µÈ­ "
"37","¼º³­È²¼Ò","1","¼º³­È²¼ÒÁ¦¸ñ ¼º³­´ë°Ô·Î ¹Ù²Ù¸é ÁÁÀ» °Å °°½À´Ï´Ù... ±â½ÂÀü ´ë°Ô±×¸®°í ¿¬±â°¡ ³Ê¹« ¾î»öÇß¾î¿ä... ¾×¼ÇÀå¸é¸¸ Áñ°Ì°Ô º» µíÇÑ ´À³¦ÀÔ´Ï´Ù... ÀÌ°Ô °¨µ¶´ÔÀÇ ÀÇµµ¿´´Ù¸é ¼º°øÀûÀÌ³×¿ä "
"38","·±´×¸Ç : Ç®·ê·çÀÇ ¿ª½À","2","·±´×¸Ç : Ç®·ê·çÀÇ ¿ª½À¸î¹é¿øÂ¥¸® µüÁö·Î ¾Öµé ÄÚ¹¯Àºµ· ¹ÞÀ¸´Ï ÁÁÀ¸½Å°¡¿ä.. µüÁö°¡ ÀÖÀ¸¸é Ç¥ »ì¶§ ¾È³»¸¦ ÇØÁÖ½Å´øÁö.. ¿µÈ­ ¸ÕÀú ºÁµµ µüÁö ¸ø¹Þ¾Ò´Ù°í Ç®Á×Àº ¾ÆÀÌ º¸°í ¾ó¸¶³ª °ï¶õÇÏ´øÁö¿ä.. ³Ê¹« »ó¼úÀÌ³×¿ä.. ¤Ì.¤Ì "
"39","º£³ð","10","º£³ðÈþÀÔ´Ï´Ù...Àç¹Õ´Âµ¥ "
"40","¸íÅ½Á¤ ÄÚ³­ : Á¦·ÎÀÇ ÁýÇàÀÎ","10","¸íÅ½Á¤ ÄÚ³­ : Á¦·ÎÀÇ ÁýÇàÀÎ¾È±âÁØÀÌ¶û ±«µµÅ°µå °°ÀÌ ³ª¿À´Â ¿µÈ­ º¸°í½Í´Ù¤Ð.¤Ð "
"41","µµ¾î¶ô","7","µµ¾î¶ô°øÈ¿Áø ¿¬±â ¸®¾óÇØ¼­ ÁÁ¾ÒÀ¸³ª ½ºÅä¸®°¡ Á»..´ä´äÇÑ ±¸¼®ÀÌ ÀÖ¾úÀ½..Á¤¸» ½Ã°£ÀÌ ¸¹ÀÌ ³²´Â´Ù ÇÏ´Â ºÐ¸¸ º¸½Ã±æ.. "
"42","½ºÅ¸ ÀÌÁî º»","10","½ºÅ¸ ÀÌÁî º»ÀüÀ²ÀÇ ¿¬¼ÓÀÌ¾ú´ø ¿µÈ­ "
"43","¿Ïº®ÇÑ Å¸ÀÎ","10","¿Ïº®ÇÑ Å¸ÀÎÆòÁ¡ Ã· ½áº½ ³»°¡ ¿ÃÇØ º» ¿µÈ­Áß Å½3¾È¿¡ µç´Ù °Á ºÁ¶ó ÈÄÈ¸¾ÈÇÔ À¯ÇØÁø °³Á¶Å¸ ¤Ì¤Ì "
"44","±¹°¡ºÎµµÀÇ ³¯","8","±¹°¡ºÎµµÀÇ ³¯»õ·Î¿î °³³äÀÇ Àç³­¿µÈ­, ¶Ç ´Ù¸¥ Àç³­À» ¿¹°íÇÏ´Âµ¥... "
"45","º¸Çì¹Ì¾È ·¦¼Òµð","9","º¸Çì¹Ì¾È ·¦¼ÒµðÄýÀÇ À½¾ÇÀ» ¿ø¾øÀÌ µéÀ» ¼ö ÀÖ´Â ¿µÈ­ "
"46","³ª»Û ÀÌ¿ôµé","5","³ª»Û ÀÌ¿ôµé·ÎÁî¹ø ¶§¹®¿¡ ÁøÂ¥ ²ÚÂü°í ºÃ´Ù. ÄÚ¹Ìµð ¿µÈ­ÀÎµ¥ ´ÜÇÑ¹øÀÇ ÇÇ½Ä ¿ôÀ½µµ ¾È³ª¿ÃÁÙÀÌ¾ß. "
"47","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","1","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹º¸´Âµ¥ ÁýÁßÀ» ¸øÇÔ...ÀÌ¾ß±â Áß°£Áß°£ ¿ÏÀü Â©¸°´À³¦... "
"48","¿Ïº®ÇÑ Å¸ÀÎ","9","¿Ïº®ÇÑ Å¸ÀÎ°øÆ÷, ½º¸±·¯, ÄÚ¹Ìµð.. ¿Â Àå¸£°¡ ´Ù Æ÷ÇÔµÇ¾îÀÖ´Â ¿µÈ­ "
"49","¼º³­È²¼Ò","7","¼º³­È²¼ÒÅ³¸µÅ¸ÀÓ¿ë, ¾Æºü°¡ Á¤¸» ÁÁ¾ÆÇÒ¸¸ÇÑ ¾×¼Ç!  °¡Á·³¢¸® º¸±â¿£  ÁÁ¾Ò¾î¿ä "
"50","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼Òµð¾îÁ¦º¸°í ²Þµµ ²å¾î¿ä.... ¤Ð¤Ð¤Ð¤Ð Á×±âÀü¿¡ Àú·± ÄÜ¼­Æ® ÀÖÀ¸¸é ²À °¡º¸°í ½Í¾î¿ä ¾Æ ÁøÂ¥ ÇÑ¹ø´õ º¸·¯°¡¾ß°Ú½À´Ï´Ù ¤Ð¤Ð "
"51","¹«¼­¿î Áý","10","¹«¼­¿î ÁýÇÑ±¹ °øÆ÷ ¿µÈ­°èÀÇ Çõ¸í "
"52","º¸Çì¹Ì¾È ·¦¼Òµð","6","º¸Çì¹Ì¾È ·¦¼Òµð»ý°¢¾øÀÌ º¸±â ÁÁÀº ¿µÈ­ "
"53","¸ðÅÐ ¿£Áø","6","¸ðÅÐ ¿£ÁøÇì½ºÅÍ¼î¶û Åè´Â ¶°³ª°í Å×µ¥¿ì½º´Â ±ò·ÁÁ×°í ¾È³ª´Â ´ë¼º´ç¿¡¼­ ¶³¾îÁ® Á×°í ·±´ø»ç¶÷µéÇÏ°í ¹æÆÐº®³Ñ¾î »ç¶÷µéÈ­ÇØÈÄ µ¿·áµÇ°í³¡³ª´Â ³»¿ëÀÓ ¸Þµà»ç¹«±â´Â Çì½ºÅÍ¼î°¡ ÇØÁ¦ÇÏ°í ¸Þµà»ç¹«±â±¤¼±À¸·Î ¹æÆÐº®2Â÷°ø°Ý±îÁö ¼º°øÈÄ 3Â÷¿¡ ½ÇÆÐÇÏ°í ÁÖ¿äÀÎ¹° 2¸í»ì°í 2¸íÁ×°í "
"54","±¹°¡ºÎµµÀÇ ³¯","8","±¹°¡ºÎµµÀÇ ³¯±× ³¯ÀÌ °³Åº½º·´´Ù.. ¹ÏÀ½ÀÇ °í¸®°¡ ²÷¾îÁö°í¾ß ¸¸, ±× ³¯ÀÌ °³Åº½º·´´Ù. "
"55","º¸Çì¹Ì¾È ·¦¼Òµð","8","º¸Çì¹Ì¾È ·¦¼Òµð³Ê¹« °¨µ¿ÀûÀÌ¾ú¾î¿ä ÄýÀÇ ³ë·¡¸¦ ´Ù½Ã µé¾îºÁ¾ß°Ú¾î¿ä "
"56","µµ¾î¶ô","1","µµ¾î¶ôÀç¹Ì°¡ ³Ê¹« ¾ø½À´Ï´Ù. ´ä´äÇÑ ¿µÈ­ "
"57","Å©·¹ÀÌÁö ¸®Ä¡ ¾Æ½Ã¾È","8","Å©·¹ÀÌÁö ¸®Ä¡ ¾Æ½Ã¾È½Åµ¥·¼¶ó ½ºÅä¸®ÀÌ±äÇÑµ¥ ¹º°¡ ¸ð¸£°Ô ±âºÐÀÌ ÁÁ¾ÆÁö´Â ¿µÈ­...Àý´ë ¾ÇÀÌ³ª º£º£²¿ÀÌ´Â ½ºÅä¸®°¡ ¾ø¾î¼­ ±×·±Áö ¿µÈ­°¡ ³¡³¯ ¶© ¹Ì¼Ò°¡ Áö¾îÁö´Â ¿µÈ­ÀÔ´Ï´Ù.. "
"58","·±´×¸Ç : Ç®·ê·çÀÇ ¿ª½À","8","·±´×¸Ç : Ç®·ê·çÀÇ ¿ª½ÀÀëÀÖ°Ô º¸¾Ò¾î¿ä. ½Ã°£ÀÌ »¡¸® Áö³ª°¬³×¿ä¤¾¤¾ "
"59","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼Òµð¸¶Áö¸· 20ºÐÀ» º¸±âÀ§ÇØ ´Þ·Á¿Ô´Ù.. ¼Ò¸§µ¸´Â ¿µÈ­ ¤Ð¤Ð "
"60","µµ¾î¶ô","8","µµ¾î¶ôÁ¡¼öÁØ´Ù´Âµ¥²À±Û½á¾ßÇÏ³ª "
"61","±¹°¡ºÎµµÀÇ ³¯","5","±¹°¡ºÎµµÀÇ ³¯¼ÒÀçµµ ÁÁ°í ¹è¿ìµé ¿¬±âµµ ÁÁ¾ÒÀ¸³ª Áß°£ ÀÌÈÄ·Ð ³Ê¹« ·çÁîÇÏ°í ÇãÁØÈ£¾¾¿Í ±èÇý¼ö¾¾ÀÇ °ü°è°¡ °©ÀÚ±â ³¡¿¡¼­ ¿Ö...Á¶±Ý ¸¹ÀÌ ¾Æ½¬¿ü³×¿ä..¤Ð¤Ð "
"62","ÀÎ»ý ÈÄ¸£Ã÷","10","ÀÎ»ý ÈÄ¸£Ã÷ÀÌ·¸°Ô ³ªÀÌ µé¾î°¡°í ½Í´Ù, ´Â ¸¶À½ÀÌ µé°Ô ÇÏ´Â ¿µÈ­ "
"63","±¹°¡ºÎµµÀÇ ³¯","6","±¹°¡ºÎµµÀÇ ³¯""¿ëµÎ»ç¹Ì"" ±× ÀÚÃ¼ÀÎ¿µÈ­_ÁÁÀº¼ÒÀç·Î Àß³ª°¡´Ù°¡ ¸¶¹«¸®°¡ ¾îÀÇ¾ø´Â ...¸¸µé´Ù ±ÍÃ¯¾ÆÁ³³ª? »ý°¢µéÁ¤µµ..¸¹ÀÌ ¾Æ½¬¿î¿µÈ­ "
"64","¸ðÅÐ ¿£Áø","10","¸ðÅÐ ¿£Áø½Ã³ª¸®¿Àµµ ½Å¼±Çß°í ¿µ»óµµ º¼ °Å ¸¹°í ¿òÁ÷ÀÌ´Â µµ½ÃÀÇ ¾ÆÀÌµð¾î¿Í ÅÍ¹Ì³×ÀÌÅÍ(?)ÀÇ »·ÇÏÁö¸¸ ¾à°£Àº ¹¶ÄðÇÑ Àå¸é±îÁöµµ¤» Áö»óÆí ½ºÅ¸¿öÁî,ÇÏ¿ïÀÇ ¿òÁ÷ÀÌ´Â ¼º,ÅÍ¹Ì³×ÀÌÅÍ,¸Åµå¸Æ½ºÀÇ Â«»Í°°¾Ò´ø º¼°Å¸® ¸¹¾Ò´ø ¿µÈ­..±Ùµ¥ »ó¿µ°ü¼ö°¡ ³Ê¹« ¹Ð¸®´Âµí¤Ì¤Ì "
"65","¸ðÅÐ ¿£Áø","8","¸ðÅÐ ¿£Áø¼¼°è°üÀÌ ³Ê¹« ÁÁÀºµ¥ ¾Æ±î¿ò. Ä³¸¯ÅÍ°¡ ³Ê¹« ¸¹°í ÇÑ¸íÇÑ¸í¿¡°Ô ³Ê¹« ¸¹Àº ÀÌ¾ß±â¸¦ Áà¼­ ³­ÀâÇØÁü. ½´¶óÀÌÅ©´Â ³Ê.. ³Ê.. »ç¶ûÇß±¸³ª.. "
"66","ÇåÅÍ Å³·¯","10","ÇåÅÍ Å³·¯ÀÌ°Å ¾öÃ» ³ªÀÝ¾Æ...¿µÈ­°ü¿¡¼­ ¾ÈºÃÀ¸¸é Å«ÀÏ ³¯»·Çß³×¿ä...»ó¿µ°ü ´Ã·ÁÁÖÁö...¤Ð "
"67","¹Ù¿ï","8","¹Ù¿ïÁøÁ¤ÇÑ ¿¹¼ö´ÔÀÇ °¡¸£Ä§À» ´Ù½Ã ´À³¢°Ô ÇØÁØ ¿µÈ­³×¿ä.. "
"68","µµ¾î¶ô","6","µµ¾î¶ô¹«¼­¿ö¿ä. °øÆ÷¿µÈ­º¸´ÂÁÙ...;; º¸´Â ³»³» ÁÖÀÎ°ø °£Å©³×.. ½Í¾úÀ½.. ±×³É Á» ÀÖÁö..¤Ñ¤Ñ ±×¸®°í ½ÇÁ¦ ¹üÀÎº¸´Ù´Â ¹üÀÎÀ¸·Î ³»³» ¿ÀÇØ¹Þ¾Ò´ø »ç¶÷ÀÌ Çö½Ç¿¡ ÀÖÀ»¹ýÇÑ ¹«¼­¿î ÀÎ¹°ÀÌ¶ó´Â »ý°¢..¤Ñ¤Ñ "
"69","·±´×¸Ç : Ç®·ê·çÀÇ ¿ª½À","10","·±´×¸Ç : Ç®·ê·çÀÇ ¿ª½Àtv·Îµµ Àç¹Õ°Ô º¸´ø ¾ÆÀÌµé~ ±ØÀåÆÇµµ ³Ê¹« ÁÁ¾Æ¶óÇØ¿ä~ "
"70","µµ¾î¶ô","1","µµ¾î¶ô¾Ë¹Ùµé ¾ç½É ³Ê¹« ¾ø´Ù ¾Èº»°Í¸¸µµ ¸øÇÑ ¿µÈ­ "
"71","º£³ð","6","º£³ðÃÊ¹ÝÀº Àç¹Õ´Âµ¥ °©ÀÚ±â ²÷±ä ´À³¦ "
"72","ÇåÅÍ Å³·¯","10","ÇåÅÍ Å³·¯½ºÄÉÀÏÅ©°í, ½ºÅä¸® ÁÁ°í, ½ÉÈ£Èí±îÁöµµ ¸ØÃß°í ºÁ¾ßÇÏ´Â ÁÁÀº¿µÈ­ ÀÔ´Ï´Ù, "
"73","º¸Çì¹Ì¾È ·¦¼Òµð","2","º¸Çì¹Ì¾È ·¦¼ÒµðÄýÀÌ¶ó´Â ½´ÆÛ½ºÅ¸¸¦ ¿µÈ­¿¡ ÃæºÐÈ÷ ´ã¾Æ³»Áö ¸øÇÏ°í, ÀÌ ¿µÈ­·Î ÀÎÇØ ¶ó¹Ì ¸»·º¸¸ ÀÏ¾à ½´ÆÛ½ºÅ¸°¡ µÇ¹ö¸° ¿µÈ­. Äý¾Ë¸øµéÀÌ ¿À?´ë¹Ú ÀÌ³ë·¡°¡? ÀÌ³ë·¡µµ? ÇÏ¸ç Àç¹Õ¾îÇÏ´Â ¿µÈ­. ¿µÈ­´Â »ó´çÈ÷ ¸ø¸¸µé¾ú°í ½Ì½ºÆ®¸®Æ®, ´Þ¶ó½º ¹ÙÀÌ¾î½º Å¬·´¸¸ »ý°¢³ª´Â Á¹ÀÛ. "
"74","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","8","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¿µ»ó¹Ì´Â ÁøÂ¥ ÀÌ»Ú´Ù... ³»¿ëÀº ±×³É ±×·¨´Ù ¤¾ "
"75","Åø¸®","8","Åø¸®Ãâ»ê°ú À°¾Æ°¡ ¿©¼ºÀÇ ÀÎ»ý¿¡¼­ ¾ó¸¶³ª Å« º¯È­ÀÎÁö... °°Àº À°¾Æ¸¾À¸·Î½á °ø°¨ÀÌ ¸¹ÀÌ µÆ¾î¿ä. "
"76","Ãß°ÝÀÚ","10","Ãß°ÝÀÚÇÏÁ¤¿ì ³ª»Û ½ÃÅ°.... "
"77","½ÅºñÇÑ µ¿¹°µé°ú ±×¸°µ¨¿ÐµåÀÇ ¹üÁË","10","½ÅºñÇÑ µ¿¹°µé°ú ±×¸°µ¨¿ÐµåÀÇ ¹üÁËÇØ¸®Æ÷ÅÍ ÆÒµéÇÑÅ×´Â Å©¸®½º¸¶½º ¼±¹°°°Àº ¿µÈ­¿´¾î¿ä ¢¾ "
"78","µµ¾î¶ô","8","µµ¾î¶ô¿Ü±¹ ¿µÈ­ ¶û ¸¹ÀÌ ºñ½ÁÇØ¼­ ÀÍ¼÷ÇÏÁö¸¸ °øÈ¿Áø¾¾ ÆÒÀÌ¶ó ±äÀåÇÏ¸é¼­  ³ª¸§ Àç¹Õ°Ô ºÃ³×¿ä "
"79","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼Òµð¾Æ..ÇÁ·¹µð ¸ÓÅ¥¸®..´ç½ÅÀÇ »îÀÌ³×¿ä "
"80","Ãâ±¹","6","Ãâ±¹È®´ëÇØ »ý°¢ ÇÏ¸é Ãæ°ÝÀû "
"81","±¹°¡ºÎµµÀÇ ³¯","7","±¹°¡ºÎµµÀÇ ³¯¹¹¶ö±î, ½º¸± ³ÑÄ¡´Â °Ç ¾Æ´Ñµ¥ ±×³É º¼¸¸ÇÔ...¹ÝÀüÀÌ³ª ±×·± °Í ¾øÀÌ ´ÙÅ¥¿µÈ­ °°Àº ´À³¦ "
"82","±¹°¡ºÎµµÀÇ ³¯","10","±¹°¡ºÎµµÀÇ ³¯ÇãÁØÈ£ ¹è¿ì°¡ Á¤¸» ¾ÆÆÄÆ®¿¡¼­ ¶³¾îÁú·Á°í ÇÒ¶§  ½½Æâ¾î¿ä "
